StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      109,      00,   196602,   1.36,   37.1,    -.2,   2.43,   -.61,   2.12,      0,    570,   -.74,   -.89,   -.53,      0,    .29,    .26,    .23,   26.4,   47.9,
      106,      00,   196603,    .89,     54,  -2.42,  -2.42,  -2.76,  -2.42,     29,    306,  -2.02,   -.35,   -.05,   -.69,   -.54,   -.59,   -.62,   40.9,   67.1,
      103,      00,   196603,   1.63,   44.1,  -1.16,  -1.16,  -3.47,  -1.16,      3,    703,  -1.88,  -1.06,   -.92,  -1.88,   -.71,   -.86,   -.87,   32.1,     56,
      101,      00,   196603,   2.77,   34.1,  -3.83,  -3.83,  -1.08,   -3.8,      0,    835,    -.6,   -.28,   -.11,   -.88,  -1.15,  -2.25,  -2.68,     24,   44.2,
      105,      00,   196603,   1.01,   33.3,   3.63,   3.63,   1.06,   3.63,      0,    915,   -.42,   -.77,   -.86,  -2.29,    .41,   1.11,   1.03,   20.8,   45.8,
      102,      00,   196603,   2.46,   33.3,   3.66,   3.66,   1.67,   3.66,      0,    931,   1.17,    .92,    .62,    .55,   1.74,   1.82,   1.55,   23.3,   43.3,
      109,      00,   196603,    .86,   46.2,   -.88,   1.48,   -2.1,    .25,      1,    422,  -1.16,  -1.32,  -1.32,    -.3,    -.1,    .26,    .13,   33.1,   59.2,
      108,      00,   196603,   3.75,   36.5,  -1.42,  -1.42,    .58,  -1.06,      0,    726,    .47,   -.38,   -.15,   -.65,   -.48,   -.39,    .32,   25.8,   47.3,
      104,      00,   196603,   3.29,   52.5,   1.06,   1.06,  -1.46,    .26,     31,    370,   -.81,    .37,    .86,   -.11,    -.2,   -.36,    .83,   40.1,   64.9,
      107,      00,   196603,    .31,     43,   -.63,    2.7,   -1.9,    1.9,     11,    601,  -1.94,  -1.28,  -1.44,    .18,    .63,   1.14,    .52,   27.6,   58.4,
      108,      00,   196604,   1.04,   43.6,  -2.01,  -2.01,  -2.22,  -2.01,      0,    520,  -1.69,   -.54,  -1.07,   -.68,    -.8,   -.87,    .18,   30.8,   56.4,
      107,      00,   196604,     .6,   50.1,   -.98,   2.01,  -1.25,    .69,     45,    414,    -.9,  -2.04,  -1.56,    .23,    .17,    .84,    .36,   34.6,   65.7,
      106,      00,   196604,   4.93,   61.6,  -1.22,  -1.22,   2.85,    .08,     89,    107,   1.51,    .11,     .7,    .21,    .22,     .1,   -.45,   49.1,   74.1,
      101,      00,   196604,   2.14,   41.4,  -4.05,  -4.05,  -1.83,  -4.05,      0,    624,  -1.33,  -1.38,  -1.04,  -1.48,  -1.12,  -2.18,   -2.7,   31.4,   51.4,
      102,      00,   196604,   2.13,   39.9,    .02,    3.3,    .06,   3.27,      0,    700,   -.47,    .28,    .23,    .73,   1.88,   1.44,   1.12,   30.2,   49.6,
