StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   195102,    4.2,   33.6,   4.14,   4.14,   2.32,   4.14,      0,    942,   1.39,   1.41,    .68,    .32,    .94,    .63,   1.49,   23.5,   43.7,
      109,      00,   195103,     .9,   43.6,   -.62,   -.62,  -1.67,   -.62,      1,    469,   -1.1,   -.97,   -.64,     .3,     .3,    .09,   -.69,   30.8,   56.4,
      106,      00,   195103,   2.74,   52.3,  -1.75,  -1.75,    .27,  -1.56,     39,    320,    .08,    .12,    .21,  -1.34,   -.14,   -.06,    .38,   39.3,   65.3,
      107,      00,   195103,    .62,   39.9,  -3.93,  -3.93,   -1.5,  -3.93,      6,    709,   -.92,  -1.14,   -.62,  -1.91,  -1.35,  -1.79,  -1.37,   25.8,   53.9,
      104,      00,   195103,   5.31,   54.3,  -1.17,  -1.17,    .78,    -.7,     44,    336,     .5,    -.4,  -1.05,   -.98,   -.39,   -.71,   -.55,   43.3,   65.4,
      101,      00,   195103,   4.36,   33.4,    2.4,    2.4,   1.72,    2.4,      0,    854,    .88,   1.48,   1.29,   1.48,   1.11,    .51,   -.14,   24.8,     42,
      108,      00,   195103,   3.29,     32,   3.27,   3.27,    .67,   3.27,      0,    865,    .11,    .64,    .93,   1.64,   1.51,    1.2,      1,   22.5,   41.5,
      105,      00,   195103,   1.11,   20.7,    2.4,    2.4,   1.07,    2.4,      0,   1287,   -.11,    .36,    .24,   -.38,    .52,   -.09,   -.28,    9.3,   32.1,
      102,      00,   195103,   3.07,   23.1,   1.74,   1.74,   3.22,   1.74,      0,   1166,   1.96,   2.57,   2.15,    .59,   -.07,    .05,   -.22,     14,   32.3,
      103,      00,   195103,   4.25,   40.4,   4.01,   4.01,    .89,   4.01,      1,    814,     .4,   1.14,   1.32,    .32,    .82,    .84,   1.51,   30.4,   50.4,
      103,      00,   195104,   3.57,   50.2,   3.65,   3.65,    .15,   3.65,      1,    485,   -.17,    .13,    .77,    .62,    .54,    .82,   1.67,   39.5,   60.8,
      104,      00,   195104,   3.99,   60.6,   -.85,   -.85,    .59,   -.02,     58,    159,    .32,    .51,   -.17,  -1.02,   -.74,    -.4,   -.63,   48.4,   72.7,
      105,      00,   195104,   1.53,   38.9,   2.56,   2.56,   1.22,   2.56,      0,    728,   -.39,   -.46,   -.18,   -.36,    .14,   -.09,   -.13,   26.3,   51.4,
      106,      00,   195104,   2.13,   60.2,  -1.88,  -1.88,   -.93,  -1.88,     67,    132,   -.95,   -.53,   -.41,  -1.19,  -1.11,    -.2,    .18,   47.1,   73.2,
      101,      00,   195104,   4.06,     45,   2.42,   2.42,    .79,   2.42,      0,    502,    .61,    .99,   1.51,    1.9,   1.32,    .81,   -.07,   35.1,   54.9,
      102,      00,   195104,    3.4,   40.4,   2.37,   2.37,   2.44,   2.37,      0,    686,    .99,   2.09,   2.39,   1.65,   -.08,    .14,    .15,   31.3,   49.6,
      107,      00,   195104,   1.37,   48.7,  -3.15,  -3.15,   1.13,  -2.65,     30,    448,    .79,   -.07,   -.45,   -.85,  -1.74,  -1.35,  -1.22,   34.7,   62.7,
      108,      00,   195104,    1.2,   44.9,   -.74,    2.2,  -2.21,   1.25,      0,    489,  -1.48,   -.76,    .06,    .57,   1.26,   1.04,   1.05,   30.7,     59,
      109,      00,   195104,   1.49,   52.5,   -.52,   -.52,    .11,   -.52,      7,    325,    .38,   -.66,   -.79,    .03,    .29,    .22,   -.46,   39.5,   65.5,
      103,      00,   195105,   3.09,   63.7,   2.72,   2.72,  -1.65,   2.02,     78,    145,   -.86,   -.77,   -.42,    .01,   -.03,     .5,   1.55,   50.5,   76.9,
      107,      00,   195105,   1.13,   58.8,  -3.01,  -3.01,   -.55,  -2.67,    101,    220,    .17,    .57,   -.03,    -.5,  -1.01,     -1,  -1.33,   43.9,   73.6,
      106,      00,   195105,   3.56,   70.4,  -1.91,  -1.91,   -.66,  -1.91,    237,     17,   -.31,   -.87,   -.62,   -.86,  -1.33,   -.47,    .11,   57.8,     83,
